soc_code,occupation_title,aioe_occupation_title,ai_exposure,job_zone,cognitive_skill_level,finance_knowledge_level,routine_knowledge_level,analytical_activity_level,routine_activity_level,median_annual_wage_2024,projected_growth_pct_2024_2034,source_url,focus_occupation_title,group_label,median_wage_z,growth_z,ai_exposure_z,job_zone_z,cognitive_skill_level_z,finance_knowledge_level_z,routine_knowledge_level_z,analytical_activity_level_z,routine_activity_level_z,ai_enhancement_score,ai_enhancement_rank
13-2099,"Financial Specialists, All Other","Financial Specialists, All Other",1.361362,4.5,4.1775,5.2775,3.2225,5.83,4.9225,,,,,,,,0.4408344522973217,1.4528927906258153,1.7732672675236887,1.6729471994461778,-1.4274770003901736,1.4366352252412713,1.1075785691806832,1.12059158068593,1
13-2061,Financial Examiners,Financial Examiners,1.526064,4.0,4.1450000000000005,4.390000000000001,3.67,5.48,4.805,,,,,,,,0.845893480354402,0.36765274884738697,1.6584165006854465,0.6423046684089323,-0.5768734905312668,1.0217785603629468,0.9081778724590982,0.8735024445401979,2
13-2052,Personal Financial Advisors,Personal Financial Advisors,1.400749,4.0,3.9166666666666665,4.54,3.94,5.64,4.885,102140.0,10.0,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,Personal Financial Advisors,analytical,1.2485567459243305,1.5781674968840742,0.5377006709108433,0.36765274884738697,0.8515162413603536,0.8164977722462128,-0.06366019966667473,1.21142732145018,1.0439400489503896,0.8223036535311059,3
13-1051,Cost Estimators,Cost Estimators,1.367669,4.0,3.955,5.275,3.865,5.77,4.655,,,,,,,,0.4563455407477111,0.36765274884738697,0.9869812484003332,1.6700439810488903,-0.2062194471290609,1.3655169398335578,0.653623791537928,0.7883597744129861,4
13-2051,Financial and Investment Analysts,Financial Analysts,1.380615,4.0,,,,,,101350.0,6.0,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,Financial and Investment Analysts,analytical,1.1793870524264187,0.7779698928301774,0.4881842201640322,0.36765274884738697,,,,,,0.6891939617878788,5
13-1111,Management Analysts,Management Analysts,1.432417,4.0,3.955,4.3100000000000005,4.595000000000001,5.62,4.98,,,,,,,,0.6155832060379919,0.36765274884738697,0.9869812484003332,0.5494016796957156,1.1813572281715035,1.1877212263142762,1.205157633533799,0.6036769102835378,6
13-2011,Accountants and Auditors,Accountants and Auditors,1.481956,4.0,3.8533333333333335,5.38,4.295,5.21,4.91,81680.0,5.0,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Accountants and Auditors,analytical,-0.542850759097535,0.5779204918167032,0.7374166943436572,0.36765274884738697,0.6277044905986507,1.7919791537349865,0.6111202383219555,0.7017462760282382,1.0863657291039188,0.49857495116816636,7
13-1161,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,1.426757,4.0,3.885,3.705,4.279999999999999,5.545,4.595,,,,,,,,0.6016633137549409,0.36765274884738697,0.7396103659795015,-0.15317717244798512,0.5826083888294771,1.098823369554635,0.5518021591694587,0.48576935230812096,8
13-1081,Logisticians,Logisticians,1.297303,4.0,4.054444444444445,4.1450000000000005,4.363333333333333,4.933333333333334,4.428333333333334,,,,,,,,0.28329127566128554,0.36765274884738697,1.338404962315642,0.35778926547470646,0.7410075526765745,0.3738119599815626,0.2689642914792696,0.4750128861188496,9
13-1141,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",1.440985,4.0,3.7083333333333335,4.45,4.43,5.33,4.475,,,,,,,,0.6366548733668222,0.36765274884738697,0.11529337701264415,0.7119819099438442,0.8677268837542511,0.8439828468436641,0.3481588944325216,0.4512297746698965,10
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,4.0,3.8333333333333335,4.025,5.025,4.95,4.595,,,,,,,,0.8043723599631033,0.36765274884738697,0.5570270956212705,0.21843478240488148,1.9986969136225199,0.39356703926148273,0.5518021591694587,0.4251335127540561,11
13-2031,Budget Analysts,Budget Analysts,1.502988,4.0,3.855,4.8149999999999995,4.1850000000000005,4.77,4.405,87930.0,1.0,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,Budget Analysts,analytical,0.004377828702399476,-0.22227711223719354,0.7891416368343159,0.36765274884738697,0.6335942735134318,1.1358517959478942,0.40203334204378943,0.1802121830383434,0.2293669900026428,0.423340177799436,12
13-2041,Credit Analysts,Credit Analysts,1.345268,4.0,3.811666666666667,4.975,3.5500000000000003,5.6,4.3,80970.0,-4.0,https://www.onetonline.org/link/summary/13-2041.00,Credit Analysts,analytical,-0.6050159266716075,-1.2225241173045645,0.4012537550529005,0.36765274884738697,0.4804599177291092,1.3216577733743273,-0.8049682864710848,1.1640151311783715,0.05117913335782227,0.26355491985923407,13
13-1075,Labor Relations Specialists,Labor Relations Specialists,1.334834,4.0,3.8733333333333335,3.035,3.6550000000000002,4.33,4.095,,,,,,,,0.3755929500915308,0.36765274884738697,0.6983818855760311,-0.9312397029211739,-0.6053853400237436,-0.3413219099515504,-0.2967114439011117,0.17428940473983337,14
13-1131,Fundraisers,Fundraisers,1.242567,4.0,3.686666666666667,3.855,4.385,4.7,4.24,,,,,,,,0.14867657177346164,0.36765274884738697,0.038726199120482835,0.02101593138929583,0.7821913352768193,0.09724085006267912,-0.05064249901064551,0.09770707324629292,15
13-2072,Loan Officers,Loan Officers,1.385739,4.0,3.686666666666667,4.1850000000000005,3.62,4.7,4.359999999999999,74180.0,2.0,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,Loan Officers,routine,-1.1995250644574564,-0.022227711223719363,0.5007859035665685,0.36765274884738697,0.038726199120482835,0.4042407598313148,-0.6719129888395242,0.09724085006267912,0.15300076572629007,0.048740116420693126,16
13-2071,Credit Counselors,Loan Counselors,1.385381,4.0,3.543333333333333,3.48,3.56,3.88,4.0,,,,,,,,0.4999054580829407,0.36765274884738697,-0.4677951315507443,-0.41446682820390685,-0.7859603868094337,-0.8747090505093971,-0.45792902848451966,-0.008330643754825779,17
13-1199,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",1.047687,4.0,3.75,3.15125,4.14375,4.6850000000000005,4.53125,,,,,,,,-0.33060056747052885,0.36765274884738697,0.26253794988218576,-0.796240047447281,0.3236257559394755,0.07946127871075129,0.4436166747779614,-0.12981748285620606,18
13-2053,Insurance Underwriters,Insurance Underwriters,1.326652,4.0,3.5216666666666665,3.35,3.195,4.77,4.25,79880.0,-3.0,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,Insurance Underwriters,routine,-0.7004525923839161,-1.0224747162910903,0.3554705899042649,0.36765274884738697,-0.5443623094429056,-0.5654341848628837,-1.4797487244597158,0.1802121830383434,-0.03367222694923447,-0.16402346093955766,19
13-1031,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",1.274024,4.0,3.8349999999999995,3.5300000000000002,4.24,4.51,4.4399999999999995,76790.0,-5.0,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,"Claims Adjusters, Examiners, and Investigators",routine,-0.9710024061922037,-1.4225735183180386,0.22604018512115379,0.36765274884738697,0.56291687853605,-0.35640246025814615,0.5065767901828725,-0.12796705372841208,0.2887629422175815,-0.17851530452386694,20
13-1151,Training and Development Specialists,Training and Development Specialists,1.198409,4.0,3.625,2.5250000000000004,4.09,4.52,3.96,,,,,,,,0.04007681851640036,0.36765274884738697,-0.1791957687264406,-1.5234962559679293,0.22145829525809846,-0.11611400616046019,-0.5258101167301654,-0.18192948862821945,21
13-2082,Tax Preparers,Tax Preparers,1.29371,3.0,3.456666666666667,4.415,3.9299999999999997,4.81,4.885,,,,,,,,0.27445484934096664,-1.8028273347094697,-0.7740638431193896,0.6713368523818118,-0.08266809932832672,0.22762437331015203,1.0439400489503896,-0.21588569836662522,22
13-2081,"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners, Collectors, and Revenue Agents",1.36682,3.0,3.561666666666667,3.885,4.68,3.82,4.245,,,,,,,,0.4542575569052532,-1.8028273347094697,-0.4030075194881435,0.055854552156751815,1.34292437529554,-0.94582733591711,-0.04215736297993999,-0.33158123446904136,23
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",1.068559,4.0,3.48,3.5,4.279999999999999,2.72,2.46,,,,,,,,-0.27926912016808336,0.36765274884738697,-0.6916068823124473,-0.3912410810256027,0.5826083888294771,-2.2496625683918454,-3.0713509259418768,-0.4515531186907788,24
13-1071,Human Resources Specialists,"Employment, Recruitment, and Placement Specialists",1.36005,4.0,3.436666666666667,1.8649999999999998,4.59,3.4,3.675,,,,,,,,0.4376077917539714,0.36765274884738697,-0.8447412380967698,-2.2899459128519664,1.1718532783406763,-1.4436553337711,-1.0094628704803907,-0.4772851303334636,25
13-1021,"Buyers and Purchasing Agents, Farm Products","Purchasing Agents and Buyers, Farm Products",0.7687054,4.0,3.3349999999999995,4.38,4.5,4.21,3.7399999999999998,,,,,,,,-1.0167125499711,0.36765274884738697,-1.2040179958984554,0.6306917948197794,1.0007821813858124,-0.4835584807669762,-0.8991561020812167,-0.5144571767601857,26
13-1041,Compliance Officers,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,3.5714285714285716,3.740714285714286,2.707142857142857,3.932142857142857,4.4314285714285715,4.527857142857143,,,,,,,,-1.1903051656619001,-0.5625530012484083,0.22972344507126058,-1.3119760584512314,-0.07859497797225837,-0.22109814176232145,0.43785890389998283,-0.6422161239322336,27
13-1022,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",0.8188258,3.0,3.668333333333333,3.7300000000000004,3.74,3.28,3.41,,,,,,,,-0.8934491985252639,-1.8028273347094697,-0.026061412942117976,-0.12414498847510454,-0.44381819289970537,-1.5858919045865258,-1.4591750801077925,-0.7079774700327418,28
13-1121,"Meeting, Convention, and Event Planners",Meeting and Convention Planners,0.3740207,4.0,3.543333333333333,2.87,3.6950000000000003,3.84,3.8549999999999995,,,,,,,,-1.987378364417799,0.36765274884738697,-0.4677951315507443,-1.122852117142183,-0.5293537413771372,-0.9221212407812057,-0.7039979733749859,-0.9385495051678113,29
13-1032,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",0.6634955,3.0,3.3333333333333335,2.1799999999999997,3.075,4.19,4.21,,,,,,,,-1.2754599837362186,-1.8028273347094697,-1.2099077788132349,-1.9241403947936764,-1.707843520399534,-0.50726457590288,-0.10155331519488016,-1.1713859632090429,30
13-1074,Farm Labor Contractors,Farm Labor Contractors,-0.4354025,2.0,2.811666666666667,3.285,2.4299999999999997,2.42,2.58,,,,,,,,-3.9780292045949155,-3.9733074182663266,-3.0534098311399016,-0.640917863192372,-2.93385304857606,-2.60525399543041,-2.8677076612049395,-2.7059035810188004,31
13-1082,Project Management Specialists,,,4.0,,,,,,,,,,,,,,0.36765274884738697,,,,,,,
13-2022,Appraisers of Personal and Business Property,,,4.0,3.375,3.585,4.154999999999999,5.0,4.609999999999999,,,,,,,,,0.36765274884738697,-1.0626632059436933,-0.29253165551781013,0.34500964305883264,0.45283227710124324,0.5772575672615753,,
13-2023,Appraisers and Assessors of Real Estate,,,4.0,3.2083333333333335,3.98,3.835,4.88,4.605,,,,,,,,,0.36765274884738697,-1.6516414974218612,0.16617685125369672,-0.26324314611401606,0.3105957062858174,0.5687724312308713,,
13-2054,Financial Risk Specialists,,,4.0,,,,,,106000.0,7.0,https://www.onetonline.org/link/localtrends/13-2054.00,Financial Risk Specialists,analytical,1.58652512174957,0.9780192938436517,,0.36765274884738697,,,,,,,
